STATEFP|DISTRICT|NAME|NAMELSAD
17|09600|Charleston Community Unit School District 1|Charleston Community Unit School District 1
17|09810|Chester Community Unit School District 139|Chester Community Unit School District 139
17|09930|Chicago Public School District 299|Chicago Public School District 299
17|10240|North Wayne Community Unit School District 200|North Wayne Community Unit School District 200
17|10290|Cissna Park Community Unit School District 6|Cissna Park Community Unit School District 6
17|10340|Clay City Community Unit District 10|Clay City Community Unit District 10
17|10410|Central Community Unit School District 4|Central Community Unit School District 4
17|10440|Clinton Community Unit School District 15|Clinton Community Unit School District 15
17|10530|Coal City Community Unit School District 1|Coal City Community Unit School District 1
17|10570|Cobden School Unit District 17|Cobden School Unit District 17
17|10650|Collinsville Community Unit School District 10|Collinsville Community Unit School District 10
17|10740|Columbia Community Unit School District 4|Columbia Community Unit School District 4
17|10760|Catlin Community Unit School District 5|Catlin Community Unit School District 5
17|10790|Hamilton County Community Unit School District 10|Hamilton County Community Unit School District 10
17|10800|Oakwood Community Unit School District 76|Oakwood Community Unit School District 76
17|10820|Westville Community Unit School District 2|Westville Community Unit School District 2
17|10830|Triopia Community Unit School District 27|Triopia Community Unit School District 27
17|10980|Coulterville Unit School District 1|Coulterville Unit School District 1
17|11100|Crab Orchard Community Unit School District 3|Crab Orchard Community Unit School District 3
17|11250|Crete-Monee Community Unit School District 201-U|Crete-Monee Community Unit School District 201-U
17|11400|Fulton County Community Unit School District 3|Fulton County Community Unit School District 3
17|11610|Dakota Community Unit School District 201|Dakota Community Unit School District 201
17|11790|Danville Community Consolidated School District 118|Danville Community Consolidated School District 118
17|11850|Decatur School District 61|Decatur School District 61
17|11880|Deer Creek-Mackinaw Community Unit School District 701|Deer Creek-Mackinaw Community Unit School District 701
17|12000|DeKalb Community Unit School District 428|DeKalb Community Unit School District 428
17|12030|DeLand-Weldon Community Unit School District 57|DeLand-Weldon Community Unit School District 57
17|12060|Delavan Community Unit School District 703|Delavan Community Unit School District 703
17|12090|Depue Community Unit School District 103|Depue Community Unit School District 103
17|12240|Dieterich Community Unit School District 30|Dieterich Community Unit School District 30
17|12330|Dixon Unit School District 170|Dixon Unit School District 170
17|12480|Dongola School Unit District 66|Dongola School Unit District 66
17|12510|Donovan Community Unit School District 3|Donovan Community Unit School District 3
17|12700|Dunlap Community Unit School District 323|Dunlap Community Unit School District 323
17|12720|Dupo Community Unit School District 196|Dupo Community Unit School District 196
17|12760|Du Quoin Community Unit School District 300|Du Quoin Community Unit School District 300
17|12810|Durand Community Unit School District 322|Durand Community Unit School District 322
17|12930|Earlville Community Unit School District 9|Earlville Community Unit School District 9
17|13050|East Dubuque Community Unit School District 119|East Dubuque Community Unit School District 119
17|13290|East Richland Community Unit School District 1|East Richland Community Unit School District 1
17|13320|East St. Louis School District 189|East St. Louis School District 189
17|13370|Edgar County Community Unit District 6|Edgar County Community Unit District 6
17|13410|Edinburg Community Unit School District 4|Edinburg Community Unit School District 4
17|13500|Edwards County Community Unit School District 1|Edwards County Community Unit School District 1
17|13530|Edwardsville Community Unit School District 7|Edwardsville Community Unit School District 7
17|13560|Effingham Community Unit School District 40|Effingham Community Unit School District 40
17|13590|Egyptian Community Unit School District 5|Egyptian Community Unit School District 5
17|13660|Eldorado Community Unit School District 4|Eldorado Community Unit School District 4
17|13710|School District U-46|School District U-46
17|13860|Elverado Community Unit School District 196|Elverado Community Unit School District 196
17|13920|Tri-Valley Community Unit School District 3|Tri-Valley Community Unit School District 3
17|13970|Elmhurst School District 205|Elmhurst School District 205
17|14050|Elmwood Community Unit School District 322|Elmwood Community Unit School District 322
17|14100|Elmwood Park Community Unit School District 401|Elmwood Park Community Unit School District 401
17|14350|Erie Community Unit School District 1|Erie Community Unit School District 1
17|14430|Eureka Community Unit District 140|Eureka Community Unit District 140
17|15100|Fieldcrest Community Unit School District 6|Fieldcrest Community Unit School District 6
17|15180|Fisher Community Unit School District 1|Fisher Community Unit School District 1
17|15400|Flora Community Unit School District 35|Flora Community Unit School District 35
17|15490|Forrestville Valley Community Unit School District 221|Forrestville Valley Community Unit School District 221
17|15750|Franklin Community Unit School District 1|Franklin Community Unit School District 1
17|15880|Community Unit School District 2|Community Unit School District 2
17|15900|Freeport School District 145|Freeport School District 145
17|16020|Galatia Community Unit School District 1|Galatia Community Unit School District 1
17|16050|Galena Unit School District 120|Galena Unit School District 120
17|16080|Galesburg Community Unit School District 205|Galesburg Community Unit School District 205
17|16140|Galva Community Unit School District 224|Galva Community Unit School District 224
17|16350|Geneseo Community Unit School District 228|Geneseo Community Unit School District 228
17|16380|Geneva Community Unit School District 304|Geneva Community Unit School District 304
17|16410|Genoa-Kingston Community Unit School District 424|Genoa-Kingston Community Unit School District 424
17|16680|Gillespie Community Unit School District 7|Gillespie Community Unit School District 7
17|16740|Girard Community Unit School District 3|Girard Community Unit School District 3
17|17280|Granite City Community Unit School District 9|Granite City Community Unit School District 9
17|17370|Grant Park Community Unit School District 6|Grant Park Community Unit School District 6
17|17580|Grayville Community Unit School District 1|Grayville Community Unit School District 1
17|17670|Greenfield Community Unit School District 10|Greenfield Community Unit School District 10
17|17700|Greenview Community Unit School District 200|Greenview Community Unit School District 200
17|17730|Bond County Community Unit School District 2|Bond County Community Unit School District 2
17|17790|Griggsville-Perry Community Unit School District 4|Griggsville-Perry Community Unit School District 4
17|18060|Hamilton Community Consolidated School District 328|Hamilton Community Consolidated School District 328
17|18180|Calhoun Community Unit School District 40|Calhoun Community Unit School District 40
17|18200|Hardin County Community Unit School District 1|Hardin County Community Unit School District 1
17|18240|Harlem Unit School District 122|Harlem Unit School District 122
17|18270|Harrisburg Community Unit School District 3|Harrisburg Community Unit School District 3
17|18390|Hartsburg-Emden Community Unit School District 21|Hartsburg-Emden Community Unit School District 21
17|18420|Harvard Community Unit School District 50|Harvard Community Unit School District 50
17|18510|Havana Community Unit School District 126|Havana Community Unit School District 126
17|18810|Herrin Community Unit School District 4|Herrin Community Unit School District 4
17|18840|Herscher Community Unit School District 2|Herscher Community Unit School District 2
17|18870|Heyworth Community Unit School District 4|Heyworth Community Unit School District 4
17|18990|Highland Community Unit School District 5|Highland Community Unit School District 5
17|19200|Hillsboro Community Unit School District 3|Hillsboro Community Unit School District 3
17|19260|Hinckley-Big Rock Community Unit School District 429|Hinckley-Big Rock Community Unit School District 429
17|19660|Hoopeston Area Community Unit School District 11|Hoopeston Area Community Unit School District 11
17|19830|Huntley Consolidated School District 158|Huntley Consolidated School District 158
17|19920|Hutsonville Community Unit School District 1|Hutsonville Community Unit School District 1
17|19960|Illini Bluffs Community Unit School District 327|Illini Bluffs Community Unit School District 327
17|19970|Illinois Valley Central Unit School District 321|Illinois Valley Central Unit School District 321
17|20170|Iroquois County Community Unit School District 9|Iroquois County Community Unit School District 9
17|20180|Iroquois West Community Unit School District 10|Iroquois West Community Unit School District 10
17|20280|Jacksonville School District 117|Jacksonville School District 117
17|20350|Jamaica Community Unit School District 12|Jamaica Community Unit School District 12
17|20380|Jasper County Community Unit School District 1|Jasper County Community Unit School District 1
17|20430|Jersey Community Unit School District 100|Jersey Community Unit School District 100
17|20490|Johnsburg Community Unit School District 12|Johnsburg Community Unit School District 12
17|20550|Johnston City Community Unit School District 1|Johnston City Community Unit School District 1
17|20760|Kankakee School District 111|Kankakee School District 111
17|20790|Kansas Community Unit School District 3|Kansas Community Unit School District 3
17|21000|Kewanee Community Unit School District 229|Kewanee Community Unit School District 229
17|21300|Hiawatha Community Unit School District 426|Hiawatha Community Unit School District 426
17|21390|Knoxville Community Unit School District 202|Knoxville Community Unit School District 202
17|21680|La Moille Community Unit School District 303|La Moille Community Unit School District 303
17|21900|Lake Zurich Community Unit School District 95|Lake Zurich Community Unit School District 95
17|22130|Red Hill Community Unit School District 10|Red Hill Community Unit School District 10
17|22150|Lawrence County Community Unit District 20|Lawrence County Community Unit District 20
17|22300|Lebanon Community Unit School District 9|Lebanon Community Unit School District 9
17|22350|Lee Center Community Unit School District 271|Lee Center Community Unit School District 271
17|22530|Lena-Winslow Community Unit School District 202|Lena-Winslow Community Unit School District 202
17|22620|Le Roy Community Unit School District 2|Le Roy Community Unit School District 2
17|22710|Lexington Community Unit School District 7|Lexington Community Unit School District 7
17|22770|Liberty Community Unit School District 2|Liberty Community Unit School District 2
